"";"Champs";"Regie";"Soil_type";"mean_temp";"total_precip";"frozen";"Rendement";"Pureté";"N_Fert";"P_Fert";"K_Fert";"Mg_Fert";"S_Fert";"Ca_Fert";"Zn_Fert";"Cu_Fert";"B_Fert";"Mn_Fert";"PhEau";"Age";"Ca_Sol (ppm)";"P_Sol (ppm)";"Al_Sol (ppm)";"K_Sol (ppm)";"Mg_Sol (ppm)";"Zn_Sol (ppm)";"Cu_Sol (ppm)";"Mn_Sol (ppm)";"B_Sol (ppm)";"Fe_Sol (ppm)";"N_Fol (%)";"P_Fol (%)";"K_Fol (%)";"Ca_Fol (%)";"Mg_Fol (%)";"B_Fol (%)";"Cu_Fol (%)";"Fe_Fol (%)";"Mn_Fol (%)";"Zn_Fol (%)";"Al_Fol (%)"
"361";"D07";"Organic";"Sand";13,6818681318681;9125,2;112;28461;0,88;48,4704;35,343;121,093;5,049;299,992;63,6174;0;2,03;0;0;4,4;5;192;191;728;86;33;2;2,25;2,2;0,4;239,37;0,012;0,0013;0,0064;0,0124;0,0025;0,00439;0,00038;0,00408;0,03678;0,00274;0,0165114
"362";"D07";"Organic";"Sand";14,1227777777778;8258,6;252;10813;0,88;47,1744;34,398;119,1162;10,1034;218,6658;61,9164;0,6138;1,2276;0;0;4,8;6;161;111;557;81;31;1,2;2,84;2;0,3;166,36;1,1;0,12;0,63;0,77;0,2;0,00269;0,00038;0,00318;0,01722;0,00198;0,0069
"363";"D07";"Organic";"Sand";15,4114754098361;6155,8;56;22662;0,88;54,6576;39,8545;103,6175;5,6935;194,904;71,7381;0;0;0;0;4,7;7;103;108;738;58;18;1;1,67;2;0,4;160,28;1;0,15;0,72;0,98;0,25;0,00311;0,00042;0,00403;0,02474;0,00266;0,0092
"364";"D08";"Organic";"Sand";13,6818681318681;9125,2;112;22409;0,92;48,0912;35,0665;118,1455;5,0095;309,172;63,1197;0;2,03;0;0;4,4;5;102;114;1112;45;15;1,1;1,38;2;0,5;142,82;0,012;0,0013;0,0065;0,0118;0,0024;0,00372;0,00041;0,00377;0,02887;0,00268;0,0165624
"365";"D08";"Organic";"Sand";14,1227777777778;8258,6;252;9855;0,92;48;35;120,0395;10,1615;222,1335;63;0,6105;1,221;0;0;4,7;6;145;154;1122;70;22;1;2,67;2;0,3;146,67;1,1;0,12;0,6;0,84;0,2;0,00266;0,00038;0,00305;0,01851;0,00208;0,0059
"366";"D08";"Organic";"Sand";15,4114754098361;6155,8;56;19466;0,92;55,2144;40,2605;102,9575;5,7515;203,202;72,4689;0;0;0;0;4,5;7;112;144;891;61;20;1,2;2,38;2;0,5;169,51;1;0,15;0,63;1,12;0,25;0,00412;0,00041;0,00444;0,03592;0,00275;0,01016
"367";"E01";"Organic";"Sand";13,6818681318681;9125,2;112;22853;0,642857142857143;43,7616;31,9095;124,0335;9,5712;320,8834;57,4371;0;1,8865;0;0;4,9;9;200;121;1287;85;24;2,2;2,48;2,4;0,6;201,83;0,01;0,001;0,0068;0,0092;0,0019;0,00574;0,00028;0,0054;0,02231;0,00223;0,0141394
"368";"E01";"Organic";"Sand";14,1227777777778;8258,6;252;17042;0,642857142857143;48,7488;35,546;121,9678;10,6766;321,2322;63,9828;0,6622;1,3244;0;0;4,6;10;169;145;1127;105;25;2,1;2,93;2,6;0,5;215,88;1,1;0,11;0,53;0,86;0,18;0,00444;0,00037;0,00401;0,02371;0,00217;0,0044
"369";"E01";"Organic";"Sand";15,4114754098361;6155,8;56;22469;0,642857142857143;31,4592;22,939;67,935;3,277;370,098;41,2902;0;0;0;0;4,6;11;106;116;1292;60;15;1,2;2,48;2;0,5;210,45;1;0,14;0,67;1,09;0,23;0,00462;0,00037;0,00482;0,02721;0,00262;0,0116
"370";"E02";"Organic";"Sand";13,6818681318681;9125,2;112;22425;0,494252873563218;42,4128;30,926;112,124;9,8678;313,2656;55,6668;0;2,051;0;0;4,7;9;138;128;1269;66;19;1,8;2,08;2;0,4;162,99;0,01;0,0011;0,0066;0,0088;0,002;0,00493;0,00028;0,0037;0,01755;0,00209;0,0141394
"371";"E02";"Organic";"Sand";14,1227777777778;8258,6;252;16373;0,494252873563218;48,8256;35,602;124,853;10,387;320,391;64,0836;0,627;1,254;0;0;4,8;10;164;160;1323;100;23;1,6;3,62;2;0,5;181,31;1,1;0,11;0,53;0,87;0,19;0,00455;0,00041;0,00406;0,02499;0,00214;0,00516
"372";"E02";"Organic";"Sand";15,4114754098361;6155,8;56;22297;0,494252873563218;55,3872;40,3865;76,8975;5,7695;364,698;72,6957;0;0;0;0;4,4;11;100;154;1119;68;15;1,5;4,26;2;0,3;187,54;1;0,12;0,59;1,13;0,24;0,00518;4e-04;0,00452;0,03676;0,00238;0,00826
"373";"E03";"Organic";"Sand";13,6818681318681;9125,2;112;22526;0,451612903225806;43,3872;31,6365;102,9125;9,495;308,345;56,9457;0;1,8725;0;0;4,6;9;156;102;1484;84;21;1,6;2,81;2;0,5;192,52;0,011;0,0012;0,0073;0,0091;0,0022;0,0052;0,00031;0,00378;0,02132;0,00218;0,0130858
"374";"E03";"Organic";"Sand";14,1227777777778;8258,6;252;15038;0,451612903225806;48,408;35,2975;125,3434;10,4458;310,9821;63,5355;0,6391;1,2782;0;0;4,6;10;193;164;1185;115;32;1,9;3,25;3,3;0,6;215,01;1,1;0,11;0,55;0,87;0,2;0,00426;0,00045;0,00476;0,02068;0,00205;0,00634
"375";"E03";"Organic";"Sand";15,4114754098361;6155,8;56;21150;0,451612903225806;55,6704;40,593;78,645;5,799;198,594;73,0674;0;0;0;0;4,4;11;129;129;1297;83;20;1,6;3,92;2;0,5;199,85;1;0,13;0,64;0,99;0,22;0,0047;0,00035;0,00392;0,02298;0,0023;0,0095
"376";"E04";"Organic";"Sand";13,6818681318681;9125,2;112;23743;0,395604395604396;43,152;31,465;100,753;9,7216;305,9132;56,637;0;1,967;0;0;4,6;9;136;96;1258;88;20;2,3;3,32;2;0,5;232,81;0,01;0,0011;0,0066;0,0096;0,002;0,00456;0,00036;0,00398;0,01806;0,00261;0,0143622
"377";"E04";"Organic";"Sand";14,1227777777778;8258,6;252;10234;0,395604395604396;48,456;35,3325;125,5794;10,3578;311,1051;63,5985;0,6281;1,2562;0;0;4,6;10;128;117;1068;113;24;2;3,01;2;0,3;237,59;1,1;0,12;0,53;0,95;0,22;0,00442;0,00063;0,00376;0,02332;0,00228;0,00466
"378";"E04";"Organic";"Sand";15,4114754098361;6155,8;56;20360;0,395604395604396;55,5936;40,537;79,455;5,791;197,28;72,9666;0;0;0;0;4,5;11;100;94;1184;63;15;1,1;2,91;2;0,6;193,5;1,1;0,14;0,64;1,16;0,25;0,00482;0,00039;0,00412;0,04523;0,00244;0,0086
"379";"F01";"Organic";"Sand";15,4114754098361;6155,8;56;23442;0,59;38,1216;27,797;69,405;3,971;178,938;50,0346;0;0;0;0;4,9;6,4;100;47;1074;39;15;0,4;0,81;2;0,5;155,76;1;0,16;0,64;1,09;0,19;0,0026;0,00036;0,00407;0,02038;0,0028;0,01362
"380";"F02";"Organic";"Sand";15,4114754098361;6155,8;56;31895;0,51;57,3456;41,8145;80,9175;5,9735;195,768;75,2661;0;0;0;0;4,7;9,8;100;35;1610;35;15;0,4;0,66;2;0,6;200,13;0,9;0,09;0,53;1,02;0,18;0,00258;0,00034;0,00421;0,01774;0,00264;0,01108
"381";"F03";"Organic";"Sand";13,6818681318681;9125,2;112;26206;0,436170212765957;44,7792;32,6515;129,0925;4,6645;325,096;58,7727;0;2,45;0;0;4,7;9;100;77;1527;54;15;1,3;2,08;2;0,3;212,27;0,011;0,0012;0,0075;0,0106;0,0024;0,00475;0,00032;0,00388;0,03249;0,00201;0,0161728
"382";"F03";"Organic";"Sand";14,1227777777778;8258,6;252;13051;0,436170212765957;47,7168;34,7935;124,2176;10,1692;320,5839;62,6283;0,6149;1,2298;0;0;4,7;10;160;131;1740;94;22;1,6;4,72;2,6;0,4;252,18;1,1;0,11;0,6;0,82;0,22;0,00438;0,00054;0,00822;0,04056;0,00185;0,00476
"383";"F03";"Organic";"Sand";15,4114754098361;6155,8;56;21428;0,436170212765957;53,0832;38,7065;75,4475;5,5295;196,128;69,6717;0;0;0;0;4,8;11;112;130;1400;65;15;1,4;2,94;2;0,5;248,24;1;0,12;0,6;1,05;0,21;0,00421;0,00039;0,00425;0,02717;0,00214;0,00866
"384";"F04";"Organic";"Sand";13,6818681318681;9125,2;112;23067;0,40625;45,0528;32,851;116,0975;4,693;312,416;59,1318;0;2,0125;0;0;4,9;9;133;123;1285;86;21;1,9;3,28;2;0,4;241,51;0,011;0,0013;0,0062;0,013;0,0025;0,00668;0,00032;0,00367;0,03837;0,00231;0,0173512
"385";"F04";"Organic";"Sand";14,1227777777778;8258,6;252;16821;0,40625;48,8448;35,616;123,8202;10,8354;327,9438;64,1088;0,6798;1,3596;0;0;4,9;10;179;117;1529;100;25;1,4;4,48;2,3;0,4;224,06;1;0,11;0,67;0,75;0,22;0,00384;0,00031;0,00387;0,0368;0,00168;0,00512
"386";"F04";"Organic";"Sand";15,4114754098361;6155,8;56;21710;0,40625;51,59232;37,6194;94,34354;6,52368;279,69316;67,71492;0,13596;0,67442;0;0;5;11;100;140;1168;70;16;0,9;3,29;2;0,4;222,58;1,1;0,12;0,6;1,07;0,22;0,0047;0,00037;0,00486;0,03659;0,00231;0,0092
"387";"G01";"Organic";"Sand";13,6818681318681;9125,2;112;21828;0,301204819277108;43,8912;32,004;127,43;4,572;320,344;57,6072;0;2,45;0;0;4,5;9;137;144;1038;57;17;1,5;2,61;2;0,5;176,67;0,011;0,0011;0,0059;0,0099;0,0022;0,00484;0,00037;0,00515;0,02334;0,00176;0,0168694
"388";"G01";"Organic";"Sand";14,1227777777778;8258,6;252;13988;0,301204819277108;48,9216;35,672;122,3664;10,4528;236,9376;64,2096;0,6336;1,2672;0;0;4,5;10;138;198;939;86;26;1,6;3,38;2;0,3;225,86;1,1;0,12;0,62;0,87;0,2;0,00408;0,00034;0,0075;0,02423;0,00195;0,00516
"389";"G01";"Organic";"Sand";15,4114754098361;6155,8;56;23202;0,301204819277108;56,448;41,16;108,2;5,88;28,368;74,088;0;0;0;0;4,9;11;100;133;1010;43;15;0,7;2,86;2;0,3;190,69;1;0,15;0,68;0,94;0,22;0,00459;0,00044;0,00397;0,02241;0,0021;0,0092
